recording,experiment,object,mass,volume,result,line_pair_1,line_pair_2,line_pair_3,line_pair_4,line_pair_5
1,mass,small,18,30ml,pass,144.9348778,101.2098129,177.8092213,109.4874151,159.8054436
2,mass,small,18,30ml,pass,142.2756439,94.44862367,148.4417744,141.4772627,134.106593
3,mass,small,18,30ml,pass,141.8504817,94.98803447,161.2619837,141.5123032,134.8575444
10,mass,small,32,30ml,pass,144.4072766,100.4458678,157.8284477,110.9578245,155.9544669
11,mass,small,32,30ml,pass,144.1754238,99.23964849,154.7329608,135.7424809,132.1752717
12,mass,small,32,30ml,pass,143.1665766,99.57324349,161.3911471,136.0574683,131.9174737
19,mass,small,49,30ml,pass,144.7330283,110.8509787,154.6248491,104.0648627,154.8610563
20,mass,small,49,30ml,pass,145.1370118,107.6540537,156.221015,104.0957759,155.019637
21,mass,small,49,30ml,pass,143.6943592,108.3670851,156.3205213,103.8420855,154.6345268
34,mass,small,60,30ml,pass,143.1881528,94.64246159,179.5060831,144.2110265,133.9190758
35,mass,small,60,30ml,fail,140.8083511,97.38321139,178.4002755,147.7429469,133.5202517
36,mass,small,60,30ml,pass,146.3256947,115.3005017,176.6261878,97.86510429,157.737818
40,mass,small,63,30ml,fail,142.0603119,103.4957333,178.9488193,143.5540234,128.6966615
41,mass,small,63,30ml,pass,145.0767045,117.0167369,176.7602997,97.04576912,152.7835775
42,mass,small,63,30ml,fail,145.1190539,116.3791774,177.8600323,96.50978227,153.4696315
43,mass,small,63,30ml,pass,145.0990953,107.0714099,175.7623484,104.8273154,154.5201827
44,mass,small,63,30ml,pass,111.8639049,164.310473,139.0389906,128.1690641,150.1075446
45,mass,small,63,30ml,fail,142.9475479,109.4900318,175.718673,104.4468748,154.3075248
46,mass,small,65,30ml,fail,145.9399281,113.7145035,179.545609,97.39790077,156.8991504
47,mass,small,65,30ml,pass,142.6839818,97.48047907,179.263071,143.1642416,134.758629
48,mass,small,65,30ml,pass,144.3908749,108.6599995,177.3735944,105.6899929,156.6432028
49,mass,small,65,30ml,fail,142.9195067,101.4406471,177.2621064,137.217064,132.8919047
50,mass,small,65,30ml,fail,NaN,NaN,NaN,NaN,NaN
51,mass,small,65,30ml,fail,146.0846206,116.2506657,176.1493612,96.70983681,155.5897354
4,mass,medium,18,30ml,pass,145.2782873,107.5109725,174.5185745,103.5007845,155.5560452
5,mass,medium,18,30ml,pass,143.9943873,106.4466617,174.6157993,105.1565515,155.2678351
6,mass,medium,18,30ml,pass,143.7493026,107.1621048,175.1634939,105.5496485,154.7938675
13,mass,medium,32,30ml,fail,150.0969527,111.2505055,171.6341139,113.50687,159.148423
14,mass,medium,32,30ml,pass,145.1153613,110.9351806,179.9213187,108.561316,155.9196706
15,mass,medium,32,30ml,pass,144.8854262,113.3182634,177.2768709,107.3846769,155.5560452
22,mass,medium,49,30ml,pass,141.8809915,103.8026228,174.041003,147.7850343,130.9941352
23,mass,medium,49,30ml,pass,145.0190844,118.6023819,177.8141992,97.1730248,154.5676002
24,mass,medium,49,30ml,fail,143.4550277,101.9910774,176.7170133,139.6639276,130.9513339
31,mass,medium,60,30ml,fail,140.3999734,94.84215797,178.2986953,146.3560272,137.1025721
32,mass,medium,60,30ml,pass,142.7709813,98.07997483,176.1548928,142.585633,135.8782863
33,mass,medium,60,30ml,pass,140.1563713,90.87207675,176.350188,141.5819447,133.4518423
37,mass,medium,63,30ml,fail,145.1696416,119.1955255,178.9390883,97.59464337,154.9873858
38,mass,medium,63,30ml,fail,142.6147119,104.9816326,178.8928823,113.3941138,156.5389408
39,mass,medium,63,30ml,fail,144.5609864,119.9037289,177.8983457,100.080598,155.6191246
7,mass,large,18,30ml,pass,138.4032201,99.92131112,176.570978,147.3110724,135.2177354
8,mass,large,18,30ml,pass,147.0305961,121.9182232,136.5968383,131.9915257,154.6466317
9,mass,large,18,30ml,pass,143.3265324,119.8601949,170.202294,106.5767109,160.4344284
16,mass,large,32,30ml,pass,143.3146292,118.4479548,173.3720585,98.39140154,157.9783174
17,mass,large,32,30ml,pass,142.3252031,115.906508,176.2218023,104.5920752,158.9821488
18,mass,large,32,30ml,pass,142.505369,118.6412338,173.5643269,96.99192535,157.9887168
25,mass,large,49,30ml,pass,137.5031398,94.91888313,176.6526006,144.1561584,134.3539622
26,mass,large,49,30ml,pass,146.1130405,121.1344741,138.0347283,133.4158044,154.8593071
27,mass,large,49,30ml,pass,144.4784988,119.1969434,137.7966933,135.4546226,154.4195012
28,mass,large,60,30ml,fail,144.2963281,117.3646524,166.6343661,108.4457791,159.2223359
29,mass,large,60,30ml,fail,143.2472589,121.2029617,163.5526514,111.2936681,158.6661947
30,mass,large,60,30ml,fail,145.0949728,123.5744354,162.6857693,108.1132666,157.8215783
