object,mass,result,line_pair_1,line_pair_2,line_pair_3,line_pair_4,line_pair_5
small,18,pass,143.0203345,96.882157,162.5043265,130.8256604,142.9231937
small,32,pass,143.9164257,99.75291992,157.9841852,127.5859246,140.0157374
small,49,pass,144.5214664,108.9573725,155.7221285,104.0009081,154.8384067
small,60,pass,143.4407328,102.4420582,178.1775155,129.9396926,141.7257152
small,63,pass,145.1190539,116.3791774,177.8600323,96.50978227,153.4696315
small,65,fail,128.4815001,135.6909415,157.4006695,116.4981898,152.3138637
medium,18,pass,145.9399281,113.7145035,179.545609,97.39790077,156.8991504
medium,32,pass,144.5020636,108.8456564,176.7057338,116.9634504,144.24082
medium,49,pass,144.340659,107.039913,174.7659559,104.7356615,155.2059159
medium,60,pass,146.6992468,111.8346498,176.2774345,109.817621,156.8747129
medium,63,fail,143.4517012,108.1320274,176.1907385,128.2073289,138.8376898
large,18,pass,141.1091087,94.59806985,176.9345921,143.5078683,135.4775669
large,32,pass,144.1151133,114.693629,178.5767721,103.689785,155.7151504
large,49,pass,142.9201162,113.8999097,161.1233701,128.6264363,150.0995985
large,60,pass,142.7150671,117.6652322,174.3860625,99.9918007,158.3163943
